吉林电信-组播1,#genre#
通化1,http://36.49.53.110:8800/rtp:/239.37.0.132:5540
通化2,http://36.49.53.110:8800/rtp:/239.37.0.133:5540
通化3,http://36.49.53.110:8800/rtp:/239.37.0.134:5540
集安,http://36.49.53.110:8800/rtp:/239.37.0.145:5540
柳河,http://36.49.53.110:8800/rtp:/239.37.0.172:5540
梅河口,http://36.49.53.110:8800/rtp:/239.37.0.173:5540
辉南,http://36.49.53.110:8800/rtp:/239.37.0.174:5540
白城1,http://36.49.53.110:8800/rtp:/239.37.0.135:5540
白城2,http://36.49.53.110:8800/rtp:/239.37.0.136:5540
大安,http://36.49.53.110:8800/rtp:/239.37.0.177:5540
通榆,http://36.49.53.110:8800/rtp:/239.37.0.176:5540
镇赉,http://36.49.53.110:8800/rtp:/239.37.0.175:5540
洮南,http://36.49.53.110:8800/rtp:/239.37.0.218:5540
辽源1,http://36.49.53.110:8800/rtp:/239.37.0.250:5540
辽源2,http://36.49.53.110:8800/rtp:/239.37.0.251:5540
东辽,http://36.49.53.110:8800/rtp:/239.37.0.178:5540
东丰,http://36.49.53.110:8800/rtp:/239.37.0.179:5540
松原1,http://36.49.53.110:8800/rtp:/239.37.0.246:5540
松原2,http://36.49.53.110:8800/rtp:/239.37.0.247:5540
扶余,http://36.49.53.110:8800/rtp:/239.37.0.180:5540
乾安,http://36.49.53.110:8800/rtp:/239.37.0.181:5540
前郭,http://36.49.53.110:8800/rtp:/239.37.0.146:5540
抚松,http://36.49.53.110:8800/rtp:/239.37.0.219:5540
临江,http://36.49.53.110:8800/rtp:/239.37.0.220:5540
